Instancia;Pior resultado;Pior Tempo;Melhor Resultado;Tempo melhor;Tempo Medio
0;0.139072;19.43;0.09664;7.28;16.1120833333
1;0.148576;23.376;0.048384;13.889;16.2058333333
2;0.129024;10.561;0.10576;7.121;8.45790909091
3;0.07752;20.712;0.029732;19.167;19.7402727273
4;0.0289;31.745;0.0289;20.698;24.3297272727
5;0.034508;44.725;0.02723;38.257;41.1947272727
6;0.0215555555556;497.483;0.0189506666667;138.439;324.658727273
7;0.0132222222222;819.85;0.0126728888889;44.952;321.318
8;0.01168;1200.722;0.00620702040816;177.746;719.045181818
